no,date,username,tweet
911,Sun Mar 10 14:45:35 +0000 2019,PakIsal1,"RT @IzulV3: @prabowo @RajaPurwa Ah bro. Saya digarut engkau ka tasik. S

Saya ka tasik dirimu ka bandung

Susah kalo ga saling folow mah ?"
912,Sun Mar 10 14:45:36 +0000 2019,DoraemonLTE_PhP,@usagitsukinei @Bellysetiawan92 @nanosu35 @Suparno08052468 @Vife70664464 @senapati_New @shabahate @SusandraWardan1… https://t.co/aXTswu73Bg
913,Sun Mar 10 14:45:36 +0000 2019,tanjung_nasril,Hati mu terbuat dari apa pak @prabowo dan bang @Fahrihamzah tolong bantu memenangkan pak prabowo
914,Sun Mar 10 14:45:37 +0000 2019,ItemYopi,"RT @yusuf_dumdum: Survei SMRC: Jokowi-Ma'ruf 54,9% Prabowo-Sandi 32,1%

Jangan jumawa dan terlena, tetap trus gasss pol! hancurkan mereka s…"
915,Sun Mar 10 14:45:39 +0000 2019,alsyarief78,"RT @CakKhum: Yang sudah tua jangan coba-coba ikut-ikutan seperti ini, nanti kakinya bisa keseleo.

Basket ? Jago
Renang ? hayo aja
Lari ? r…"
916,Sun Mar 10 14:45:40 +0000 2019,SYARHI99,"RT @IpungLombok: konseptor Buku Nawacita yg berisi janji seharusnya protes.... 
Suru Jokowi Baca dan baca.... 
memang sdh saatnya ganti pem…"
917,Sun Mar 10 14:45:41 +0000 2019,bohong_anti,"RT @helmifelis: Jokowi minta pendukungnya tidak takut melawan Hoax.

Woy pendukung Prabowo, jangan takut melawan janji-janji yang menipu ra…"
918,Sun Mar 10 14:45:41 +0000 2019,augustojkb,"RT @AkihitoKanbara_: Habib Rizieq Ke Djoko Santoso: Menangkan @prabowo @sandiuno

Tuh Imam Besar sudah memberikan amanat, ayo #PastikanCobl…"
919,Sun Mar 10 14:45:42 +0000 2019,BenyKartanegar1,"RT @LorisbenMunthe: (Tayang 09/03/2019) Wawancara eksklusif Pak Prabowo di TV3 Malaysia.

#PastikanCoblos02 
#ILCSambharMenyambar https://t…"
920,Sun Mar 10 14:45:42 +0000 2019,teguhbiyanto,"RT @LorisbenMunthe: Hal sekecil apapun Pak Prabowo ga segan meminta maaf, termasuk dalam hal ga bisa kasih tangan utk bersalaman kesemua pe…"
921,Sun Mar 10 14:45:43 +0000 2019,3anfibi,RT @diah_soewarno: Pandainya bertanam tebu di bibir. Yakin mau dikritik? Bukannya dulu kangen didemo untuk dipuji prestasinya. Bukan didemo…
922,Sun Mar 10 14:45:44 +0000 2019,rocky_garing,"RT @pujangga1123: ""Saya akan perbaiki kehidupan ekonomi rakyat. Rakyat harus bisa senyum karena punya pekerjaan,"" kata Prabowo.

Gombalnya…"
923,Sun Mar 10 14:45:44 +0000 2019,AksesorisN,RT @MardaniAliSera: Luar biasa pergerakan masyarakat Indonesia di dalam dan luar negeri. Saling doa ? https://t.co/rXzJWKMvp5
924,Sun Mar 10 14:45:44 +0000 2019,Aweeeww6,"RT @reftyWF: Test Polling ahh
.
.
Kalian Pendukung Siapa?

01 Pendukung Pak joko wii ? (Like)
........................
02 Pendukung Pak Pra…"
925,Sun Mar 10 14:45:44 +0000 2019,irsal2009,"Islam garis keras dan HTI sebenarnya bukan pendukung @prabowo, mereka hanya menunggangi, dimana ketika lemah mereka… https://t.co/Z0Aq5Uj25R"
926,Sun Mar 10 14:45:44 +0000 2019,Ananto24511408,"@anonLokal @PriyoBudiS Malah semakin merusak citra si jae aja...   Ada kabar lain jg,,, pesawat pribadinya pak prab… https://t.co/WlLo1wjJrw"
927,Sun Mar 10 14:45:44 +0000 2019,j_paijoe,"@sofiandiabidin @AlfalahElfatih @PartaiSocmed menang..
.
.
.
gung hutang @prabowo, mgkn mksutnya ? https://t.co/TWSBm2fywn"
928,Sun Mar 10 14:45:45 +0000 2019,Summ3rMist,RT @wijaya_ento: @Summ3rMist @prabowo @sandiuno Innalilahi Wainnalilahi Rojiun #RakyatPilihPrabowoDanSandi @prabowo @sandiuno
929,Sun Mar 10 14:45:46 +0000 2019,integrity160171,"RT @AbiidDzoe: Kelakar yang Sangat kece Bang @sandiuno akan Boming nih kelihatan nya..TPS = Tusuk @Prabowo @sandiuno 
Inspiratif banget deh…"
930,Sun Mar 10 14:45:46 +0000 2019,ProSanD2,"RT @alfenroni: Di udara kita jaya
Di darat gegap gempita
Di lautpun tak kalah kreasi 
#prabowosandi mendominasi

#2019GantiPresiden https:/…"
931,Sun Mar 10 14:45:46 +0000 2019,IqbalD96392014,RT @kakek_cebong: @SuburBur @BadjaNuswantara @prabowo Kepanikan Kubu 02.Pengerusakan Baliho 01 DiJalan Di Samping Bandara Di Kota Banjarmas…
932,Sun Mar 10 14:45:47 +0000 2019,SyarifAlkadrie,"RT @GDetektif: Dilarang Ngakak Kecuali Keceplosan.

Warga Kalo PSI itu apa sih ? Kita mah orang kampung, jadi kagak ngerti dah.

PSI Oh Par…"
933,Sun Mar 10 14:45:47 +0000 2019,WahyuNasikin,"RT @IbuCamat02: “KAMI BUKAN PENGKHIANAT”

Bukan cuma Bang @sandiuno &amp; Bang @aniesbaswedan yang tidak mau mengkhianati Pak @prabowo.
Kami pa…"
934,Sun Mar 10 14:45:47 +0000 2019,muhammadtajul,wkwkwk diatur-atur sang Habib nih ye wkwkwk
935,Sun Mar 10 14:45:50 +0000 2019,andansetyanto,"RT @reftyWF: Test Polling ahh
.
.
Kalian Pendukung Siapa?

01 Pendukung Pak joko wii ? (Like)
........................
02 Pendukung Pak Pra…"
936,Sun Mar 10 14:45:50 +0000 2019,hartanto_mas,"RT @Valhalla_Asgard: Pengusaha Solo Ini Bikin Batik Motif Dua Jari untuk Sandiaga 

#RakyatPilihPrabowoDanSandi

Saatnya Indonesia Adil dan…"
937,Sun Mar 10 14:45:52 +0000 2019,hildapu39918384,Kasian sekali tim Prabowo-Sandi sebenarnya. Tidak ada prestasi yang bisa dibanggakan dari calon presidennya sendiri… https://t.co/tGROn0enHr
938,Sun Mar 10 14:45:53 +0000 2019,Sjaechu,"RT @MichelAdamNew: PRABOWO NOMOR 1.
SANDI juga naik. Tadi NYUNGSEP entah kemana.

Gas TERUS @prabowo dan @sandiuno , Temans. Mantap

TUGAS…"
939,Sun Mar 10 14:45:54 +0000 2019,Riki_Zura,Bahkan Ardian Sopa juga menyebutkan kalau temuan survei ini sebenarnya sudah bisa menggambarkan hasil pemilu Pilpre… https://t.co/VHUk2Blvr6
940,Sun Mar 10 14:45:54 +0000 2019,aulia2199,"RT @syukronamin: Semalam waktu rapat MWCNU, sy juga sempat bilang gini. Mereka yg nyerang NU ini ibarat kerikil kok.. https://t.co/GcVOlpQ2…"
941,Sun Mar 10 14:45:56 +0000 2019,ganteng_nana,"Ma?ruf Amin sebagai kyai ternama, didukung oleh luasnya pesantren dan ratusan ribu santri di seluruh Indonesia. Apa… https://t.co/PWNNUtuEvP"
942,Sun Mar 10 14:45:58 +0000 2019,laksmurni,"RT @UyokReborn: Jokower 1: Prabowo Kafiir..!!!
Jokower 2: Prabowo mau mendirikan negara khilafah.

Baru di jaman Jokowi ada kafir mau mendi…"
943,Sun Mar 10 14:45:59 +0000 2019,B1G_kaySae,@Ahokers4Jokowi @JajangRidwan19 @wahhabicc_jabar @4Y4NKZ @ApriliaLin @Dwiyana_DKM @Kang_CilokBaonG @shinichikudo991… https://t.co/STIzeldNkD
944,Sun Mar 10 14:45:59 +0000 2019,hartanto_mas,"RT @jarotkharisman: @CH_chotimah @prabowo Pasti dirimu pendukung 01 ya? Pantesan bodoh dan dungu, malik teriak maling. Orang mbahas apa jaw…"
945,Sun Mar 10 14:45:59 +0000 2019,DadangLH,"RT @bronti12: @HeraLoebs Ganti saja istilah pak jaé dengan non-prabowo. ??
#17AprilEmak2KepungTPS"
946,Sun Mar 10 14:46:00 +0000 2019,Kode_Pos,@Haidary__ Pendukung Prabowo Yg ragukan survey SMRC apa beririsan juga dengan yg meragukan KPU? ?
947,Sun Mar 10 14:46:03 +0000 2019,IdReaksirakyat,"RT @RanupsProSandi: CakNun :""Kalahkan PBNU itu gampang, cukup kasih RS wis beres.

Tapi nadliyin itu bukan PBNU, gak perduli said aqil laku…"
948,Sun Mar 10 14:46:03 +0000 2019,AgustianRuby,RT @mahendradatta: Anies adalah Model Pemerintahan Prabowo di skala Jakarta. Inilah contoh bila Prabowo memimpin Indonesia https://t.co/CBV…
949,Sun Mar 10 14:46:04 +0000 2019,EsJorong,"RT @Wariorsatu: Jejak digital kelompok FPI  mempersekusi thd yg lemah. Mereka menggunakan aksesoris seolah paling agamis, tetapi perilaku b…"
950,Sun Mar 10 14:46:04 +0000 2019,igoenpsb,"RT @Misha212jhd: “Tapi saya yakin baliho saya &amp; @sandiuno di hati kalian semua,"" @prabowo 
#RakyatPilihPrabowoDanSandi 
@RajaPurwa @MichelA…"
951,Sun Mar 10 14:46:04 +0000 2019,Dra_satria,"RT @AnnaSuezann: Data dari GOOGLE TRENDS selama Februari 2019:

Prabowo-Sandi = 78.24 %
Jokowi-Ma'aruf = 21.76 %

Ya Allah..!! Semoga harap…"
952,Sun Mar 10 14:46:05 +0000 2019,rusfansyah76,"RT @maspiyuuu: Cerita Ustadz Abrar Datangi Pesantren Yang Dukung Jokowi, Akhirnya Beralih ke Prabowo-Sandi https://t.co/0OXjyRSHIu 

#Pasti…"
953,Sun Mar 10 14:46:05 +0000 2019,Raja_Barra,"RT @ZAEffendy: Masih ributin ""kemewahan"" Prabowo naik Alphard?
GUE ingetin:
Prabowo gak pura2 miskin, makanya bisa ongkosin kampanye JKW ma…"
